ticker,z_score,robust_z_score,ewma_z_score,iqr_tukey_fence_score,winsorized_z,rolling_skew_z,rolling_kurtosis_z,level_trend_accel,roc,drawdown_depth,cusum_statistic,page_hinkley,ewma_control_distance,rolling_variance_shift,levene_proxy,acf_spike_score,pacf_spike_score,stl_seasonal_strength,seasonal_mismatch_residual,seasonal_peak_timing_error,spectral_entropy,band_power_ratios,hjorth_params,hurst_exponent,higuchi_fd,permutation_entropy,rsi,bollinger,macd,atr,stochastic_kd,fisher_transform,one_step_residual_z,pinball_loss,garch_residuals,mahalanobis_distance,isolation_forest_score,lof_score
ADANIPORTS.NS,-1.4824342478845283,-1.7961988018367843,-0.7623150694579962,0.0,-1.4824342478836057,0.156188794436669,-0.3717967152469606,level:1338.4747|trend:0.156|accel:-0.0591,0.0002270517049753895,-0.061021457216248735,cusum_pos:0.0|cusum_neg:1962.6484|signal_pos:0.0|signal_neg:1.0,ph:-4046.5891|alarm:0.0,0.0,0.4781839245851249,0.025123276540631716,n/a,n/a,n/a,n/a,n/a,0.5062308268876639,"{(0.0, 0.1): 0.9613085048064516, (0.1, 0.3): 0.029168902751541395, (0.3, 0.5): 0.007845772969097964}","{'activity': 738.9675571681447, 'mobility': 0.22798219780082896, 'complexity': 5.955637381307371}",0.09319460469595275,-1.4373086945116027,0.9643553385899638,42.05616556643348,mid:1329.285|upper:1342.4133|lower:1316.1567|percent_b:0.2149|bandwidth:0.0198,macd:-3.1885|signal:-2.0949|hist:-1.0936,n/a,n/a,0.2788374104652233,0.08356461405239034,2.20272434347927,0.1147656874211269,0.9686734669453897,-0.05102126448851241,0.9843808374466407
ASIANPAINT.NS,1.2359762193904134,0.9877536558896021,0.6720852054665379,0.0,1.2359762193899806,-0.04314374794692395,-0.3311233146028506,level:2561.3414|trend:-1.5152|accel:0.1719,-3.879603599132864e-05,-0.003861003861003861,cusum_pos:5297.3713|cusum_neg:0.0|signal_pos:1.0|signal_neg:0.0,ph:12143.2191|alarm:1.0,0.0,0.21780796530923938,0.02031165470469342,n/a,n/a,n/a,n/a,n/a,0.3910932612956545,"{(0.0, 0.1): 0.9803798618319167, (0.1, 0.3): 0.015509415570453128, (0.3, 0.5): 0.0034501639058559536}","{'activity': 4794.016556982853, 'mobility': 0.16391719290377127, 'complexity': 8.34610832424831}",-0.024380536328690444,-1.506356191239139,0.9441011900359422,60.22700968791352,mid:2568.35|upper:2590.8821|lower:2545.8179|percent_b:0.7585|bandwidth:0.0175,macd:9.1143|signal:9.0485|hist:0.0658,n/a,n/a,-0.2297057580959704,-0.013268062358513286,3.920546125657488,-0.11696445623048826,1.2612312482753543,-0.006897032304040818,1.3240013358081328
AXISBANK.NS,0.3133704298362887,0.3481148386312431,0.7112182693580101,0.0,0.3133704298361865,1.303119610232892,-0.9693073501597379,level:1062.4408|trend:-1.0782|accel:0.055,-0.0008515700570274065,-0.03261265700086565,cusum_pos:0.0|cusum_neg:728.0932|signal_pos:0.0|signal_neg:1.0,ph:-976.7898|alarm:0.0,0.0,0.33370554472318265,0.059811227423747636,n/a,n/a,n/a,n/a,n/a,0.5157964734992144,"{(0.0, 0.1): 0.9219463754060472, (0.1, 0.3): 0.060087917150738634, (0.3, 0.5): 0.014617803124957427}","{'activity': 117.00800058880792, 'mobility': 0.3533869239383723, 'complexity': 4.0293031173048375}",0.607885793592113,-1.5949140840032554,0.966799571410428,53.504993585881216,mid:1052.6|upper:1058.4216|lower:1046.7784|percent_b:0.792|bandwidth:0.0111,macd:-0.4517|signal:-1.1262|hist:0.6745,n/a,n/a,-0.6404474216126226,-0.2511761536824317,1.3641088504602414,-0.19432482566528186,1.0766779786813196,-0.03931265753636992,0.9699239650581326
BAJAJ-AUTO.NS,0.035462791671571486,-0.018563965857153995,0.0719812555242463,0.0,0.03546279167162762,0.024481585752978433,0.904107503558117,level:8984.2859|trend:14.7999|accel:-0.8153,-0.0001650891481399519,-0.013840642640034737,cusum_pos:34335.1034|cusum_neg:0.0|signal_pos:1.0|signal_neg:0.0,ph:54330.5069|alarm:1.0,0.0,0.32035481586573733,0.04966461806584275,n/a,n/a,n/a,n/a,n/a,0.3245790304650248,"{(0.0, 0.1): 0.9783301651859797, (0.1, 0.3): 0.014194878850645206, (0.3, 0.5): 0.006285421444179195}","{'activity': 135769.34318148563, 'mobility': 0.1255848168966363, 'complexity': 11.748312255897783}",-0.0030538494096052408,-1.4857875970318146,0.9666478390515673,54.536106492074325,mid:9106.9|upper:9184.7822|lower:9029.0178|percent_b:0.3562|bandwidth:0.0171,macd:32.0549|signal:48.1149|hist:-16.06,n/a,n/a,0.6364744105632559,-0.03937864980192379,14.405940594059405,-0.14052987675193557,1.639689679345783,-0.008781390438586723,0.96532854917841
BAJFINANCE.NS,1.0638609142147841,3.0739698340529578,0.5971072601401647,0.0,1.0638609142147883,-0.7146231400058134,-0.7876916107027498,level:883.9358|trend:1.6328|accel:0.0385,-0.0003733869524116251,-0.006942223415971118,cusum_pos:911.5396|cusum_neg:148.7539|signal_pos:1.0|signal_neg:1.0,ph:133.5329|alarm:1.0,0.0,7.514841716236394,6.560044064214606e-05,n/a,n/a,n/a,n/a,n/a,0.5929506459843906,"{(0.0, 0.1): 0.9251535339353119, (0.1, 0.3): 0.04734493386512138, (0.3, 0.5): 0.01973947540779714}","{'activity': 353.32945187159123, 'mobility': 0.322580674615632, 'complexity': 4.276761334896223}",0.6111782105324248,-1.4030676512970224,0.9384392118599382,71.55759216800595,mid:923.7275|upper:963.9539|lower:883.5011|percent_b:0.6644|bandwidth:0.0871,macd:11.3138|signal:11.5057|hist:-0.1919,n/a,n/a,0.2619374686662232,-0.04319127198385426,1.555816650390625,-0.07208799940608435,2.554348017136446,0.08571859618982558,1.2910868352769023
BAJAJFINSV.NS,1.1461173756080618,1.5246639819140402,0.6566203372177902,0.0,1.1461173756079515,-0.6172840238334475,-1.1411095665311295,level:1938.0548|trend:3.0762|accel:-0.0082,0.00034765519151958024,-0.0016850155276966752,cusum_pos:1314.0376|cusum_neg:538.0705|signal_pos:1.0|signal_neg:1.0,ph:-89.0287|alarm:1.0,0.0,3.3139696926096467,0.00048783399142052414,n/a,n/a,n/a,n/a,n/a,0.5377317890565126,"{(0.0, 0.1): 0.9261107007686425, (0.1, 0.3): 0.04743448784597524, (0.3, 0.5): 0.0198848253486284}","{'activity': 923.6540157368661, 'mobility': 0.34976132300145446, 'complexity': 4.206100618953676}",0.49270151470269513,-1.5131344413886179,0.9791124114924142,68.80516488464946,mid:1995.985|upper:2044.1413|lower:1947.8287|percent_b:0.6912|bandwidth:0.0483,macd:16.0297|signal:16.243|hist:-0.2133,n/a,n/a,0.28361645125008156,0.07040046267759256,3.1992571235883354,0.02846190353315247,2.116814938867322,0.09445707479180443,0.9984609719427867
BPCL.NS,-1.3639345137441448,-1.1396768705891023,-0.7435736492587953,0.0,-1.3639345137443928,1.0971881324896873,0.21346298653529036,level:315.4027|trend:0.1749|accel:-0.0208,-0.0004797501980250418,-0.08303987325891748,cusum_pos:0.0|cusum_neg:436.1677|signal_pos:0.0|signal_neg:1.0,ph:-1200.2551|alarm:0.0,0.0,0.5124513607130416,0.07526586735824092,n/a,n/a,n/a,n/a,n/a,0.5430777403491629,"{(0.0, 0.1): 0.9495528552363417, (0.1, 0.3): 0.03393050223669916, (0.3, 0.5): 0.0146897310307569}","{'activity': 59.17937959689448, 'mobility': 0.21702044125153164, 'complexity': 6.706500355163645}",0.1880651878369796,-1.4632964423488264,0.9509983388131233,44.10463102850307,mid:314.625|upper:318.6235|lower:310.6265|percent_b:0.2343|bandwidth:0.0254,macd:-0.4678|signal:-0.2023|hist:-0.2654,n/a,n/a,-0.10669364064668004,-0.11337531774646951,0.5529701308448716,-0.02475758015175158,0.916041342900692,-0.024741180316817657,1.0082632087936312
BHARTIARTL.NS,0.8500002172328485,1.4824851131956873,0.7881796577643272,0.0,0.8500002172331399,1.3440941351306037,0.5349705894644265,level:1904.6702|trend:-3.1647|accel:0.2021,0.001003498674111647,-0.027053363024576487,cusum_pos:232.1481|cusum_neg:1078.5446|signal_pos:1.0|signal_neg:1.0,ph:-1670.0737|alarm:1.0,0.0,0.33682257595041565,0.027032822787468345,n/a,n/a,n/a,n/a,n/a,0.3749899448373352,"{(0.0, 0.1): 0.9519074556022274, (0.1, 0.3): 0.03554738370920133, (0.3, 0.5): 0.01092807797312319}","{'activity': 644.5008680941569, 'mobility': 0.32692100687196574, 'complexity': 4.450505384158664}",0.805448093205429,-1.4792452037780897,0.9735858943607195,54.97545022411025,mid:1884.96|upper:1899.7548|lower:1870.1652|percent_b:0.8494|bandwidth:0.0157,macd:0.8746|signal:-1.4641|hist:2.3387,n/a,n/a,0.06799591276255902,0.2882075671632945,2.7358912099706063,0.2564229813151729,0.26944751238413706,0.0002485559586571373,1.0033597641000795
BRITANNIA.NS,0.9227352611552992,1.6409252805176868,0.5552497200396063,0.0,0.9227352611551346,0.08736550585643638,-0.7359474876445782,level:5804.5845|trend:16.6727|accel:-0.4841,-8.228420966016614e-05,-0.016669363974753198,cusum_pos:13374.2241|cusum_neg:3201.4532|signal_pos:1.0|signal_neg:1.0,ph:7556.4752|alarm:1.0,0.0,1.4686084358284672,0.09226991128261487,n/a,n/a,n/a,n/a,n/a,0.3270290294142106,"{(0.0, 0.1): 0.9841403874783646, (0.1, 0.3): 0.013095137338770073, (0.3, 0.5): 0.002281674356385959}","{'activity': 44004.07458664586, 'mobility': 0.1782373326977209, 'complexity': 7.682873493309051}",0.2705604315788356,-1.4070659596078383,0.9386068456582997,63.23696421545933,mid:6029.15|upper:6216.3693|lower:5841.9307|percent_b:0.6251|bandwidth:0.0621,macd:50.0888|signal:58.1765|hist:-8.0876,n/a,n/a,-0.05259995513589599,-0.009100542939733954,10.761138613861386,-0.07346041446347867,2.054552388258862,0.04081354168752116,1.9023012490952496
CIPLA.NS,-2.157191109542969,-2.023467546522759,-1.430661502612721,0.0,-1.917319288613743,-0.25875781717304125,-1.0381882999124323,level:1580.0845|trend:1.0668|accel:-0.1348,-0.0009012645758071924,-0.033503579021178266,cusum_pos:2786.1845|cusum_neg:0.0|signal_pos:1.0|signal_neg:0.0,ph:3147.4619|alarm:1.0,0.0,1.6930771364356678,0.1481553786757638,n/a,n/a,n/a,n/a,n/a,0.31492886908690876,"{(0.0, 0.1): 0.9854333953174388, (0.1, 0.3): 0.010233405891408838, (0.3, 0.5): 0.0032478912020134686}","{'activity': 1407.2943150608808, 'mobility': 0.21251284683856575, 'complexity': 6.699794485968591}",0.052227004456434085,-1.457349422303315,0.9546221765950906,29.540732771595657,mid:1574.28|upper:1598.2685|lower:1550.2915|percent_b:0.0356|bandwidth:0.0305,macd:-7.182|signal:-4.5542|hist:-2.6278,n/a,n/a,0.26653133914289495,-0.2510442530384211,2.5014859945467203,-0.2193373749830056,0.07037413370051579,-0.004527593868638602,1.1788687424250264
