,isolation_forest,local_outlier_factor,one_class_svm,pca_recon_error,rows,last_ts,last_close
ADANIPORTS.NS,0.21816201115345757,2.382470620281228,0.051852959938679,4.930380657631324e-31,210,2025-08-20 09:45:00+00:00,1370.5999755859375
ASIANPAINT.NS,0.2519846020878501,3.748325737833457,0.04860046488135095,4.930380657631324e-31,210,2025-08-20 09:45:00+00:00,2570.10009765625
AXISBANK.NS,0.3148052838421519,10.031926090979914,0.26904750210847683,1.9721522630525295e-30,210,2025-08-20 09:45:00+00:00,1080.199951171875
BAJAJ-AUTO.NS,0.3130867162963198,7.181859036339835,0.1922093415275279,4.930380657631324e-31,210,2025-08-20 09:45:00+00:00,8827.5
BAJFINANCE.NS,0.31767763892575085,9.46450076946286,0.39331086556710115,1.9721522630525295e-30,210,2025-08-20 09:45:00+00:00,887.5
BAJAJFINSV.NS,0.29330259282572513,8.670467622257778,0.4936691734701171,7.549645381997965e-32,210,2025-08-20 09:45:00+00:00,1959.0
BPCL.NS,0.25558817998204053,4.960329407518509,0.05569399363727512,3.944304526105059e-31,210,2025-08-20 09:45:00+00:00,319.79998779296875
BHARTIARTL.NS,0.2949793439799746,4.751137318368356,0.2708342948212126,4.930380657631324e-31,210,2025-08-20 09:45:00+00:00,1928.4000244140625
BRITANNIA.NS,0.3051145384335795,5.24943107462878,0.2134599288340122,7.888609052210118e-31,210,2025-08-20 09:45:00+00:00,5710.0
CIPLA.NS,0.306816255715018,8.027375080641674,0.19255854391695304,1.9721522630525295e-30,210,2025-08-20 09:45:00+00:00,1544.5
COALINDIA.NS,0.24934301487576382,2.025252449980308,0.061134938791444604,1.232595164407831e-31,210,2025-08-20 09:45:00+00:00,385.04998779296875
DIVISLAB.NS,0.2072920025290681,2.28482965757659,0.10480513792865298,1.9721522630525295e-31,210,2025-08-20 09:45:00+00:00,6005.0
DRREDDY.NS,0.2545253606398714,4.083478873950968,0.3335738426941879,1.013896791426046e-31,210,2025-08-20 09:45:00+00:00,1245.4000244140625
EICHERMOT.NS,0.32345276170329806,6.156237000219376,0.25299528233573443,1.9721522630525295e-30,210,2025-08-20 09:45:00+00:00,5935.0
GRASIM.NS,0.2707382987859779,4.105866273610482,0.06088413308251783,4.930380657631324e-31,210,2025-08-20 09:45:00+00:00,2864.89990234375
HCLTECH.NS,0.3487542030564852,7.62214226969363,0.6126261173038043,1.9721522630525295e-30,210,2025-08-20 09:45:00+00:00,1496.0
HDFC.NS,0.3051145384335795,5.435555727566202,0.24227904359537122,7.888609052210118e-31,210,2025-08-20 09:45:00+00:00,1988.300048828125
HDFCBANK.NS,0.3051145384335795,5.435555727566202,0.24227904359537122,7.888609052210118e-31,210,2025-08-20 09:45:00+00:00,1988.300048828125
HDFCLIFE.NS,0.32985251883046274,8.454401642542603,0.4537250838817499,7.888609052210118e-31,210,2025-08-20 09:45:00+00:00,796.0999755859375
HEROMOTOCO.NS,0.34339500710447146,10.128057823509693,0.6462052779717034,1.9721522630525295e-30,210,2025-08-20 09:45:00+00:00,5133.5
HINDALCO.NS,0.32635560091296656,7.177615501944016,0.2949927982630698,6.162975822039155e-31,210,2025-08-20 09:45:00+00:00,700.8499755859375
HINDUNILVR.NS,0.2994680271512269,5.6484099007754835,0.2831169689184265,7.888609052210118e-31,210,2025-08-20 09:45:00+00:00,2671.60009765625
ICICIBANK.NS,0.29553904822577226,5.051215765046339,0.25972998103984546,4.08297148210094e-31,210,2025-08-20 09:45:00+00:00,1430.5999755859375
INDUSINDBK.NS,0.21483538105340194,2.7004787993848156,0.07765456058484221,6.162975822039155e-31,210,2025-08-20 09:45:00+00:00,778.0
INFY.NS,0.24773144371798284,4.003878758274666,0.10185846088804396,6.162975822039155e-31,210,2025-08-20 09:45:00+00:00,1496.4000244140625
IOC.NS,0.31365916901570023,6.444329187825566,0.07791801142708166,5.485048481614848e-31,210,2025-08-20 09:45:00+00:00,141.91000366210938
ITC.NS,0.27019604319312995,4.583516557356045,0.12009033566336713,4.930380657631324e-31,210,2025-08-20 09:45:00+00:00,406.1499938964844
JSWSTEEL.NS,0.2927444620458507,5.4182029132176295,0.18263768566598904,1.0823726287456265e-31,210,2025-08-20 09:45:00+00:00,1082.5999755859375
KOTAKBANK.NS,0.3547488144990215,11.313439552191209,0.9807882333059914,4.782324793156555e-31,210,2025-08-20 09:45:00+00:00,2017.5
LT.NS,0.35354651462613673,10.936738951761557,0.8672266611842714,3.1554436208840472e-30,210,2025-08-20 09:45:00+00:00,3593.0
M&M.NS,0.32635560091296656,8.469329015121827,0.29863219939813046,3.944304526105059e-31,210,2025-08-20 09:45:00+00:00,3395.60009765625
MARUTI.NS,0.3589702164354992,16.854774280786437,0.8977548199145629,6.7053176943786e-30,210,2025-08-20 09:45:00+00:00,14225.0
NESTLEIND.NS,0.32519323927281896,12.026504929509034,0.2648966409260116,1.9721522630525295e-30,210,2025-08-20 09:45:00+00:00,1191.800048828125
NTPC.NS,0.2285416526304258,2.1738836678336773,0.03372058126645294,4.930380657631324e-31,210,2025-08-20 09:45:00+00:00,342.0
ONGC.NS,0.31423202476972567,3.490437924887265,0.2668915937514842,7.888609052210118e-31,210,2025-08-20 09:45:00+00:00,237.92999267578125
POWERGRID.NS,0.29553904822577226,5.029003841133224,0.06785454554193682,1.232595164407831e-31,210,2025-08-20 09:45:00+00:00,288.1000061035156
RELIANCE.NS,0.25655735157219395,3.7893851522648503,0.4544507966609117,4.930380657631324e-31,210,2025-08-20 09:45:00+00:00,1411.300048828125
SBILIFE.NS,0.3051145384335795,6.389634521192903,0.16512140555890054,9.860761315262648e-32,210,2025-08-20 09:45:00+00:00,1858.5
SBIN.NS,0.30738429372420895,3.731567760042946,0.24503070197475663,2.465190328815662e-30,210,2025-08-20 09:45:00+00:00,828.7000122070312
SHREECEM.NS,0.33453810602729106,7.472929630570755,0.4168284643634348,4.190823558986625e-31,210,2025-08-20 09:45:00+00:00,30690.0
SUNPHARMA.NS,0.3327779184914226,7.9169892606701975,0.40468380827765915,1.5777218104420236e-30,210,2025-08-20 09:45:00+00:00,1633.0999755859375
TATASTEEL.NS,0.27128093615322024,4.050837685688054,0.08965314255904477,4.498972350088583e-31,210,2025-08-20 09:45:00+00:00,161.77000427246094
TATACONSUM.NS,0.318253323878657,7.251583488333127,0.3990873940908004,1.9721522630525295e-30,210,2025-08-20 09:45:00+00:00,1105.300048828125
TATAMOTORS.NS,0.2894039138756398,4.384537809398398,0.3486541499620759,3.944304526105059e-31,210,2025-08-20 09:45:00+00:00,690.0999755859375
TITAN.NS,0.27345530874472923,2.933057581610915,0.07487547564092356,1.67632942359465e-30,210,2025-08-20 09:45:00+00:00,3595.0
ULTRACEMCO.NS,0.3541474530176052,14.447913761011865,1.0137863095815178,4.930380657631324e-31,210,2025-08-20 09:45:00+00:00,12875.0
UPL.NS,0.32926867322387543,9.97396940545376,0.3947801818465595,3.944304526105059e-31,210,2025-08-20 09:45:00+00:00,713.4500122070312
WIPRO.NS,0.28726689594062416,5.9217576739446915,0.236128123001474,4.930380657631324e-31,210,2025-08-20 09:45:00+00:00,250.99000549316406
TECHM.NS,0.218163359452056,2.1150902997670586,0.1462828546189172,1.9721522630525295e-31,210,2025-08-20 09:45:00+00:00,1524.9000244140625
TCS.NS,0.32519323927281896,4.724297498887472,0.3218042424437024,4.005934284325451e-31,210,2025-08-20 09:45:00+00:00,3094.800048828125
