iter	Passed	Remaining
385	4263	6781
386	4274	6771
387	4285	6758
388	4294	6745
389	4304	6732
390	4314	6720
391	4326	6710
392	4336	6698
393	4348	6687
394	4357	6674
395	4367	6661
396	4377	6648
397	4391	6642
398	4400	6629
399	4412	6618
400	4422	6606
401	4432	6593
402	4441	6580
403	4451	6567
404	4462	6556
405	4473	6544
406	4483	6532
407	4494	6520
408	4503	6507
409	4513	6495
410	4523	6482
411	4533	6470
412	4547	6462
413	4558	6451
414	4568	6440
415	4578	6427
416	4589	6415
417	4600	6405
418	4612	6395
419	4622	6383
420	4631	6369
421	4642	6359
422	4652	6346
423	4664	6336
424	4675	6325
425	4685	6313
426	4695	6301
427	4707	6291
428	4719	6281
429	4728	6268
430	4739	6256
431	4748	6243
432	4758	6231
433	4770	6221
434	4780	6209
435	4790	6196
436	4801	6186
437	4811	6174
438	4825	6166
439	4835	6154
440	4847	6144
441	4858	6133
442	4869	6122
443	4879	6109
444	4890	6098
445	4899	6086
446	4910	6075
447	4922	6065
448	4933	6054
449	4944	6042
450	4953	6030
451	4964	6018
452	4978	6011
453	4988	5999
454	4998	5987
455	5007	5974
456	5018	5962
457	5030	5952
458	5041	5942
459	5052	5931
460	5062	5918
461	5071	5906
462	5082	5894
463	5093	5883
464	5103	5871
465	5114	5860
466	5125	5849
467	5136	5838
468	5146	5826
469	5157	5816
470	5168	5805
471	5181	5796
472	5193	5785
473	5203	5774
474	5213	5762
475	5225	5752
476	5238	5743
477	5248	5731
478	5260	5721
479	5270	5709
480	5279	5697
481	5289	5684
482	5299	5672
483	5310	5661
484	5320	5650
485	5330	5637
486	5341	5626
487	5351	5614
488	5362	5603
489	5371	5590
490	5382	5579
491	5395	5570
492	5406	5560
493	5417	5549
494	5426	5536
495	5436	5524
496	5448	5513
497	5458	5501
498	5469	5490
499	5479	5479
500	5489	5467
501	5499	5455
502	5509	5443
503	5520	5432
504	5533	5423
505	5542	5411
506	5553	5399
507	5562	5387
508	5574	5377
509	5585	5366
510	5597	5356
511	5608	5345
512	5617	5333
513	5630	5324
514	5641	5313
515	5651	5301
516	5663	5290
517	5672	5278
518	5683	5267
519	5692	5254
520	5702	5243
521	5714	5232
522	5724	5221
523	5734	5209
524	5745	5197
525	5754	5185
526	5764	5174
527	5777	5165
528	5787	5153
529	5800	5144
530	5811	5132
531	5820	5120
532	5830	5108
533	5840	5096
534	5852	5086
535	5861	5074
536	5873	5063
537	5882	5051
538	5892	5039
539	5903	5028
540	5913	5017
541	5925	5007
542	5937	4996
543	5947	4985
544	5957	4973
545	5967	4961
546	5978	4950
547	5992	4942
548	6001	4930
549	6013	4920
550	6025	4910
551	6035	4898
552	6046	4887
553	6055	4875
554	6067	4865
555	6079	4855
556	6089	4843
557	6101	4832
558	6112	4822
559	6125	4813
560	6138	4803
561	6148	4791
562	6158	4780
563	6169	4769
564	6180	4758
565	6194	4750
566	6205	4738
567	6217	4728
568	6227	4717
569	6237	4705
570	6247	4693
571	6258	4682
572	6269	4672
573	6280	4661
574	6291	4650
575	6303	4640
576	6314	4628
577	6325	4618
578	6335	4606
579	6346	4595
580	6356	4584
581	6367	4573
582	6380	4563
583	6391	4553
584	6402	4541
585	6413	4530
586	6422	4518
587	6435	4508
588	6445	4497
589	6455	4485
590	6465	4474
591	6477	4464
592	6488	4453
593	6498	4441
594	6509	4430
595	6519	4418
596	6531	4408
597	6542	4398
598	6555	4388
599	6565	4376
600	6576	4366
601	6586	4354
602	6598	4344
603	6612	4335
604	6624	4325
605	6635	4314
606	6646	4303
607	6656	4291
608	6668	4281
609	6680	4270
610	6690	4259
611	6701	4248
612	6713	4238
613	6723	4227
614	6735	4216
615	6744	4204
616	6754	4193
617	6765	4181
618	6778	4171
619	6789	4161
620	6800	4150
621	6810	4138
622	6820	4127
623	6830	4116
624	6841	4104
625	6854	4094
626	6866	4084
627	6879	4074
628	6891	4064
629	6902	4053
630	6914	4043
631	6927	4033
632	6938	4022
633	6950	4012
634	6960	4001
635	6972	3990
636	6984	3980
637	6997	3970
638	7009	3960
639	7021	3949
640	7044	3945
641	7067	3941
642	7085	3933
643	7100	3925
644	7113	3915
645	7127	3905
646	7138	3894
647	7154	3886
648	7168	3876
649	7180	3866
650	7195	3857
651	7208	3847
652	7221	3837
653	7231	3826
654	7242	3814
655	7253	3803
656	7267	3794
657	7277	3782
658	7288	3771
659	7298	3759
660	7311	3749
661	7321	3738
662	7331	3726
663	7341	3714
664	7352	3704
665	7364	3693
666	7374	3681
667	7386	3671
668	7396	3659
669	7406	3647
670	7419	3637
671	7431	3627
672	7442	3616
673	7453	3605
674	7463	3593
675	7476	3583
676	7487	3572
677	7497	3560
678	7509	3550
679	7522	3540
680	7533	3528
681	7543	3517
682	7554	3506
683	7564	3494
684	7574	3483
685	7584	3471
686	7594	3460
687	7609	3450
688	7633	3445
689	7644	3434
690	7655	3423
691	7670	3414
692	7681	3402
693	7692	3391
694	7703	3380
695	7715	3370
696	7727	3359
697	7738	3348
698	7749	3337
699	7760	3325
700	7771	3314
701	7781	3303
702	7792	3292
703	7825	3290
704	7862	3289
705	7875	3279
706	7887	3268
707	7906	3260
708	7917	3249
709	7928	3238
710	7940	3227
711	7950	3215
712	7965	3206
713	7980	3196
714	7991	3185
715	8002	3174
716	8014	3163
717	8027	3152
718	8037	3141
719	8050	3130
720	8062	3120
721	8073	3108
722	8084	3097
723	8096	3086
724	8107	3075
725	8119	3064
726	8131	3053
727	8143	3042
728	8156	3032
729	8166	3020
730	8177	3009
731	8187	2997
732	8198	2986
733	8209	2974
734	8220	2963
735	8232	2952
736	8242	2941
737	8252	2929
738	8263	2918
739	8274	2907
740	8286	2896
741	8297	2885
742	8310	2874
743	8321	2863
744	8331	2851
745	8340	2839
746	8351	2828
747	8364	2818
748	8377	2807
749	8388	2796
750	8398	2784
751	8408	2772
752	8420	2762
753	8431	2750
754	8443	2739
755	8453	2728
756	8464	2717
757	8474	2705
758	8486	2694
759	8496	2683
760	8508	2672
761	8518	2660
762	8528	2649
763	8538	2637
764	8549	2626
765	8563	2616
766	8574	2604
767	8586	2593
768	8597	2582
769	8609	2571
770	8619	2560
771	8630	2548
772	8642	2538
773	8653	2526
774	8664	2515
775	8674	2504
776	8685	2492
777	8695	2481
778	8707	2470
779	8718	2459
780	8730	2448
781	8740	2436
782	8750	2425
783	8761	2413
784	8775	2403
785	8786	2392
786	8799	2381
787	8809	2370
788	8819	2358
789	8830	2347
790	8840	2335
791	8852	2324
792	8864	2314
793	8875	2302
794	8885	2291
795	8897	2280
796	8909	2269
797	8921	2258
798	8931	2246
799	8941	2235
800	8951	2223
801	8961	2212
802	8974	2201
803	8987	2190
804	8998	2179
805	9008	2168
806	9019	2157
807	9030	2145
808	9040	2134
809	9050	2122
810	9062	2111
811	9073	2100
812	9083	2089
813	9094	2078
814	9104	2066
815	9117	2055
816	9128	2044
817	9139	2033
818	9150	2022
819	9160	2010
820	9170	1999
821	9180	1988
822	9192	1977
823	9203	1965
824	9215	1954
825	9225	1943
826	9236	1932
827	9246	1920
828	9256	1909
829	9268	1898
830	9279	1887
831	9289	1875
832	9301	1864
833	9312	1853
834	9322	1842
835	9335	1831
836	9349	1820
837	9359	1809
838	9370	1798
839	9381	1786
840	9391	1775
841	9403	1764
842	9415	1753
843	9425	1742
844	9436	1730
845	9448	1719
846	9459	1708
847	9471	1697
848	9481	1686
849	9493	1675
850	9504	1664
851	9528	1655
852	9540	1644
853	9551	1632
854	9562	1621
855	9574	1610
856	9584	1599
857	9595	1588
858	9606	1576
859	9619	1565
860	9630	1554
861	9641	1543
862	9652	1532
863	9663	1521
864	9673	1509
865	9684	1498
866	9696	1487
867	9707	1476
868	9718	1465
869	9728	1453
870	9742	1442
871	9756	1432
872	9766	1420
873	9778	1409
874	9788	1398
875	9798	1387
876	9808	1375
877	9818	1364
878	9829	1353
879	9840	1341
880	9850	1330
881	9860	1319
882	9871	1308
883	9882	1296
884	9894	1285
885	9904	1274
886	9914	1263
887	9924	1251
888	9935	1240
889	9947	1229
890	9956	1218
891	9968	1206
892	9978	1195
893	9987	1184
894	9997	1172
895	10006	1161
896	10018	1150
897	10027	1139
898	10039	1127
899	10050	1116
900	10061	1105
901	10071	1094
902	10081	1083
903	10093	1071
904	10103	1060
905	10114	1049
906	10124	1038
907	10134	1026
908	10144	1015
909	10158	1004
910	10168	993
911	10180	982
912	10190	971
913	10201	959
914	10211	948
915	10221	937
916	10233	926
917	10244	915
918	10256	904
919	10266	892
920	10276	881
921	10286	870
922	10296	859
923	10310	848
924	10320	836
925	10330	825
926	10340	814
927	10351	803
928	10362	791
929	10373	780
930	10384	769
931	10394	758
932	10404	747
933	10414	735
934	10426	724
935	10436	713
936	10448	702
937	10458	691
938	10469	680
939	10480	668
940	10494	657
941	10504	646
942	10514	635
943	10526	624
944	10536	613
945	10545	601
946	10554	590
947	10565	579
948	10575	568
949	10585	557
950	10594	545
951	10607	534
952	10618	523
953	10627	512
954	10637	501
955	10647	490
956	10658	478
957	10669	467
958	10680	456
959	10689	445
960	10700	434
961	10710	423
962	10723	412
963	10734	400
964	10745	389
965	10755	378
966	10764	367
967	10773	356
968	10784	345
969	10796	333
970	10806	322
971	10817	311
972	10827	300
973	10837	289
974	10847	278
975	10861	267
976	10873	255
977	10885	244
978	10895	233
979	10907	222
980	10919	211
981	10931	200
982	10942	189
983	10953	178
984	10964	166
985	10975	155
986	10985	144
987	10996	133
988	11008	122
989	11017	111
990	11027	100
991	11037	89
992	11047	77
993	11059	66
994	11070	55
995	11080	44
996	11090	33
997	11099	22
998	11109	11
999	11120	0
