iter	Accuracy	Logloss
128	1	0.06009521919
129	1	0.05918641777
130	1	0.05830186661
131	1	0.05749177149
132	1	0.05687894431
133	1	0.05651284534
134	1	0.0556739354
135	1	0.05498752898
136	1	0.05431746863
137	1	0.05349484508
138	1	0.05276599328
139	1	0.05220177879
140	1	0.05154990792
141	1	0.05091917081
142	1	0.05030428695
143	1	0.04947131684
144	1	0.04921284365
145	1	0.04891696361
146	1	0.04843183314
147	1	0.04781769395
148	1	0.0471784358
149	1	0.04709108314
150	1	0.04658442983
151	1	0.04565192757
152	1	0.04504181103
153	1	0.04429275302
154	1	0.04376704031
155	1	0.0434844544
156	1	0.04284114239
157	1	0.04250259402
158	1	0.04200651469
159	1	0.04161324733
160	1	0.04113561111
161	1	0.04079420589
162	1	0.04042265762
163	1	0.03981989164
164	1	0.03957231714
165	1	0.0392411823
166	1	0.03878872155
167	1	0.0386835904
168	1	0.0383726465
169	1	0.03798973765
170	1	0.03777102237
171	1	0.03744387629
172	1	0.03708144578
173	1	0.03666498668
174	1	0.03620148372
175	1	0.03577090321
176	1	0.03539588143
177	1	0.03507667384
178	1	0.03465963505
179	1	0.03424086175
180	1	0.03384674263
181	1	0.03362885042
182	1	0.03337106128
183	1	0.03286597005
184	1	0.03262493903
185	1	0.03236488061
186	1	0.03209432748
187	1	0.03175883816
188	1	0.03142673465
189	1	0.03123038503
190	1	0.03087409002
191	1	0.03064530882
192	1	0.03036516819
193	1	0.03001561429
194	1	0.02996411939
195	1	0.02959379869
196	1	0.02927435006
197	1	0.02902155228
198	1	0.02866734104
199	1	0.02845776774
200	1	0.02828290947
201	1	0.02795112344
202	1	0.02766958209
203	1	0.02759634191
204	1	0.02735973798
205	1	0.02713809122
206	1	0.02692637026
207	1	0.0266695236
208	1	0.02650267355
209	1	0.02625941617
210	1	0.02597411323
211	1	0.02591396873
212	1	0.02566802464
213	1	0.02556083891
214	1	0.02535284177
215	1	0.02516506728
216	1	0.02502240942
217	1	0.02478632659
218	1	0.02449863582
219	1	0.02436702077
220	1	0.02433579777
221	1	0.02410086248
222	1	0.02403875787
223	1	0.02380808944
224	1	0.02359875597
225	1	0.02340949945
226	1	0.02322129572
227	1	0.02298455749
228	1	0.02284941741
229	1	0.0226583546
230	1	0.0224401314
231	1	0.02225341816
232	1	0.02208909009
233	1	0.02190766252
234	1	0.02173870001
235	1	0.021567292
236	1	0.02137163024
237	1	0.02129740307
238	1	0.02120892176
239	1	0.02101566795
240	1	0.02085699067
241	1	0.02078659179
242	1	0.02071665074
243	1	0.02058489133
244	1	0.02041845995
245	1	0.02021292486
246	1	0.02006518202
247	1	0.01994070034
248	1	0.01983362639
249	1	0.01968533144
250	1	0.01958342206
251	1	0.01942252801
252	1	0.01930257156
253	1	0.0191491906
254	1	0.01907922582
255	1	0.01898838746
256	1	0.01891467828
257	1	0.0187898752
258	1	0.01864491092
259	1	0.01855494582
260	1	0.01843072957
261	1	0.01830284666
262	1	0.01822474809
263	1	0.01810724271
264	1	0.01799674137
265	1	0.01787456672
266	1	0.01773451767
267	1	0.01764961703
268	1	0.01754770076
269	1	0.01745428047
270	1	0.01737609008
271	1	0.01729824157
272	1	0.01717261747
273	1	0.0170311557
274	1	0.01693097795
275	1	0.01682393163
276	1	0.0167559612
277	1	0.01664756158
278	1	0.01655097389
279	1	0.01647816779
280	1	0.01640823943
281	1	0.01629747354
282	1	0.01617140256
283	1	0.01608438066
284	1	0.01603824811
285	1	0.01594900569
286	1	0.01588525454
287	1	0.01579538668
288	1	0.01570947009
289	1	0.0156212486
290	1	0.01554383681
291	1	0.01542850651
292	1	0.01534483155
293	1	0.01525786325
294	1	0.01517495041
295	1	0.01515798825
296	1	0.01506047081
297	1	0.01499499963
298	1	0.01491467022
299	1	0.01483287567
300	1	0.01473959699
301	1	0.01464957928
302	1	0.01455879458
303	1	0.01447174788
304	1	0.01439973683
305	1	0.01432731493
306	1	0.01423102623
307	1	0.01413899817
308	1	0.0140718486
309	1	0.01403312802
310	1	0.01399733824
311	1	0.01393634453
312	1	0.01383163612
313	1	0.01374569351
314	1	0.01366144736
315	1	0.0135834152
316	1	0.01349692099
317	1	0.01342534611
318	1	0.01335556201
319	1	0.01328191113
320	1	0.01321489618
321	1	0.01313430489
322	1	0.01306094362
323	1	0.01299891572
324	1	0.01292277926
325	1	0.0128625247
326	1	0.01280671738
327	1	0.01273192733
328	1	0.01266813459
329	1	0.01261790562
330	1	0.01255348808
331	1	0.01251722141
332	1	0.01245199216
333	1	0.01240629955
334	1	0.01233121727
335	1	0.01226510478
336	1	0.01221659989
337	1	0.01216882218
338	1	0.0120934241
339	1	0.01202252094
340	1	0.01201138078
341	1	0.01196696521
342	1	0.01189815141
343	1	0.01181738965
344	1	0.01175978381
345	1	0.01170360918
346	1	0.01165691188
347	1	0.01160122184
348	1	0.01154585115
349	1	0.0115143217
350	1	0.01149621831
351	1	0.01142873133
352	1	0.01136862802
353	1	0.01133170125
354	1	0.01128852559
355	1	0.01124067446
356	1	0.0111758627
357	1	0.0111434755
358	1	0.01111748934
359	1	0.01106824408
360	1	0.01100860052
361	1	0.01097553977
362	1	0.0109368682
363	1	0.01090838706
364	1	0.01087533192
365	1	0.01081696341
366	1	0.01076861996
367	1	0.01071639533
368	1	0.0106721733
369	1	0.01062166448
370	1	0.01057897842
371	1	0.0105491052
372	1	0.01050107748
373	1	0.01046068342
374	1	0.01043354261
375	1	0.01040100522
376	1	0.0103672095
377	1	0.01031317877
378	1	0.01028248023
379	1	0.01024243334
380	1	0.01019643089
381	1	0.01014944709
382	1	0.01012437012
383	1	0.01009168943
384	1	0.01005205355
385	1	0.01001502484
386	1	0.00997778412
387	1	0.009930097
388	1	0.009898546296
389	1	0.009865393137
390	1	0.009838382078
391	1	0.009795642146
392	1	0.009754438186
393	1	0.009721897405
394	1	0.009696905254
395	1	0.009693683756
396	1	0.00965236247
397	1	0.009630836238
398	1	0.009587808419
399	1	0.009550985426
400	1	0.009518032622
401	1	0.009509911588
402	1	0.009475567736
403	1	0.009439143152
404	1	0.00939440676
405	1	0.009370896345
406	1	0.009333012149
407	1	0.009287611456
408	1	0.009260019415
409	1	0.009230589947
410	1	0.009213448379
411	1	0.009168909333
412	1	0.009116379362
413	1	0.009076503655
414	1	0.009038651448
415	1	0.008999743087
416	1	0.008964271692
417	1	0.008931782399
418	1	0.008900028399
419	1	0.00889440914
420	1	0.008870573974
421	1	0.008850484211
422	1	0.008850471483
423	1	0.008833921508
424	1	0.008810314825
425	1	0.008777174368
426	1	0.008746965615
427	1	0.008718162795
428	1	0.008705339955
429	1	0.008701945765
430	1	0.00867719477
431	1	0.008660141645
432	1	0.008619967588
433	1	0.008579986405
434	1	0.008555768553
435	1	0.008523036374
436	1	0.00849159545
437	1	0.008459891128
438	1	0.008422173434
439	1	0.008379691668
440	1	0.008339971498
441	1	0.008305701206
442	1	0.008302144526
443	1	0.008272377108
444	1	0.008228207593
445	1	0.008198946855
446	1	0.008171477209
447	1	0.008146454323
448	1	0.00811074759
449	1	0.008081893597
450	1	0.008057337529
451	1	0.008042441182
452	1	0.008019665682
453	1	0.007995660126
454	1	0.007961683769
455	1	0.007939455621
456	1	0.007913318388
457	1	0.007891702257
458	1	0.007877700286
459	1	0.007870927708
460	1	0.007854116179
461	1	0.007820730856
462	1	0.007789292624
463	1	0.007761770432
464	1	0.00776175808
465	1	0.007747382189
466	1	0.007737380736
467	1	0.007710141154
468	1	0.007688156321
469	1	0.007667718253
470	1	0.007641143209
471	1	0.007620383524
472	1	0.007610428986
473	1	0.007575813881
474	1	0.007546448719
475	1	0.00752898123
476	1	0.007492722347
477	1	0.007475505125
478	1	0.007457984135
479	1	0.007434468671
480	1	0.007417222606
481	1	0.00738976895
482	1	0.007368782896
483	1	0.007347448659
484	1	0.007324940013
485	1	0.007309374485
486	1	0.00730936436
487	1	0.00727912354
488	1	0.007262962013
489	1	0.007247232867
490	1	0.007232934611
491	1	0.007206692915
492	1	0.007176901914
493	1	0.007157911621
494	1	0.007139497101
495	1	0.007122793178
496	1	0.007122712571
497	1	0.007109027179
498	1	0.007087960584
499	1	0.007063755197
500	1	0.007059601234
501	1	0.007032108923
502	1	0.0070082675
503	1	0.006994129796
504	1	0.006970201543
505	1	0.006936150125
506	1	0.006914406041
507	1	0.006905619946
508	1	0.006888821183
509	1	0.006875259131
510	1	0.006848747743
511	1	0.0068219882
512	1	0.006798265848
513	1	0.00677974902
514	1	0.006762966745
515	1	0.006747210023
516	1	0.006747112638
517	1	0.006730333565
518	1	0.006717196589
519	1	0.006717196589
520	1	0.006704156617
521	1	0.006686776982
522	1	0.006672169288
523	1	0.006653743962
524	1	0.006635758464
525	1	0.006611462735
526	1	0.00659344109
527	1	0.006574287472
528	1	0.006548756907
529	1	0.00653432372
530	1	0.006530080277
531	1	0.006507004576
532	1	0.006492272384
533	1	0.006477673266
534	1	0.006457465252
535	1	0.006437529833
536	1	0.006419149234
537	1	0.006399343329
538	1	0.006396091647
539	1	0.006381977643
540	1	0.0063710678
541	1	0.006357683035
542	1	0.006331874749
543	1	0.006315007576
544	1	0.006301705576
545	1	0.006282127634
546	1	0.006266698259
547	1	0.006250166236
548	1	0.006231255047
549	1	0.00621552773
550	1	0.006196761798
551	1	0.006185798496
552	1	0.00617540418
553	1	0.006161074729
554	1	0.006145448194
555	1	0.006130358759
556	1	0.006113116338
557	1	0.006090069078
558	1	0.006069759017
559	1	0.006057320403
560	1	0.006055394057
561	1	0.006040460307
562	1	0.006025364858
563	1	0.006006512778
564	1	0.006004958463
565	1	0.005987059766
566	1	0.005970701967
567	1	0.005953217904
568	1	0.005936865135
569	1	0.005925555665
570	1	0.005903417796
571	1	0.005889104783
572	1	0.005889058973
573	1	0.005885847881
574	1	0.00586969533
575	1	0.005853405854
576	1	0.00583082742
577	1	0.005814456058
578	1	0.005802343326
579	1	0.005793712396
580	1	0.005774420823
581	1	0.005758782062
582	1	0.005758767839
583	1	0.005739322316
584	1	0.005723782167
585	1	0.005723765944
586	1	0.005723757903
587	1	0.00570923499
588	1	0.005695111113
589	1	0.005683361577
590	1	0.00566846231
591	1	0.005666343923
592	1	0.005652003125
593	1	0.00563787849
594	1	0.005625505607
595	1	0.005605587457
596	1	0.005592470878
597	1	0.005578223207
598	1	0.005571212268
599	1	0.005569497125
600	1	0.005566854343
601	1	0.005566790681
602	1	0.005555967678
603	1	0.005552502806
604	1	0.005535515632
605	1	0.005535502786
606	1	0.00552368039
607	1	0.005510342756
608	1	0.005498141748
609	1	0.005485101783
610	1	0.005472413319
611	1	0.005464919822
612	1	0.00545181329
613	1	0.005439329158
614	1	0.005427259997
615	1	0.005416390418
616	1	0.005404469548
617	1	0.005390987021
618	1	0.005387350724
619	1	0.005375485878
620	1	0.005375471652
621	1	0.005360804586
622	1	0.005352672351
623	1	0.005340340006
624	1	0.005326273497
625	1	0.005311776548
626	1	0.005300925855
627	1	0.00528816376
628	1	0.005272537508
629	1	0.005254207741
630	1	0.005241842984
631	1	0.005225595135
632	1	0.00521459521
633	1	0.005207828737
634	1	0.005194860608
635	1	0.00519322062
636	1	0.005182649605
637	1	0.005170160183
638	1	0.005158019065
639	1	0.005145766753
640	1	0.005134471263
641	1	0.005134466715
642	1	0.005134462783
643	1	0.005118991846
644	1	0.005101822963
645	1	0.005101782125
646	1	0.00508999736
647	1	0.005073535367
648	1	0.005059055914
649	1	0.005047357546
650	1	0.005035776205
651	1	0.005025171784
652	1	0.005016144061
653	1	0.005005828463
654	1	0.005005776863
655	1	0.004998196465
656	1	0.004990902004
657	1	0.004982178867
658	1	0.004966195149
659	1	0.004958862733
660	1	0.004948340622
661	1	0.004939421404
662	1	0.004929696134
663	1	0.004920920479
664	1	0.004913584442
665	1	0.004913551557
666	1	0.004897338456
667	1	0.004886755253
668	1	0.004872595168
669	1	0.004872594449
670	1	0.004859563516
671	1	0.004847437331
672	1	0.004847432591
673	1	0.004830976182
674	1	0.004816902346
675	1	0.004806012167
676	1	0.004798549088
677	1	0.004798536243
678	1	0.004795490701
679	1	0.004793032232
680	1	0.004784503857
681	1	0.004782505424
682	1	0.004771765149
683	1	0.00476216393
684	1	0.004762079932
685	1	0.004761989279
686	1	0.004752721736
687	1	0.004752720676
688	1	0.004743053056
689	1	0.004730373866
690	1	0.004719427013
691	1	0.00471931002
692	1	0.004711013068
693	1	0.004710935849
694	1	0.004698376686
695	1	0.004687836792
696	1	0.004686061217
697	1	0.004676624609
698	1	0.004664484083
699	1	0.004653539038
700	1	0.00464256038
701	1	0.00463196317
702	1	0.004623638073
703	1	0.004613546491
704	1	0.004605267813
705	1	0.004599219489
706	1	0.004588668921
707	1	0.004580353962
708	1	0.004567128656
709	1	0.004551157712
710	1	0.004539750586
711	1	0.004539676936
712	1	0.004530681963
713	1	0.004521878382
714	1	0.004514927445
715	1	0.004508204633
716	1	0.004492667951
717	1	0.004482967022
718	1	0.004482963425
719	1	0.004475222236
720	1	0.004466894761
721	1	0.004456962691
722	1	0.004446735342
723	1	0.004439209127
724	1	0.004431298411
725	1	0.004422710109
726	1	0.00442215074
727	1	0.004414429921
728	1	0.004406473065
729	1	0.004406457665
730	1	0.004396756473
731	1	0.004396679959
732	1	0.004384582795
733	1	0.004374492217
734	1	0.004366243823
735	1	0.004364552982
736	1	0.004364543555
737	1	0.004357018625
738	1	0.004346441502
739	1	0.004339290282
740	1	0.004339156632
741	1	0.004335431865
742	1	0.004325245961
743	1	0.004320433336
744	1	0.004320422302
745	1	0.004320408342
746	1	0.004312283431
747	1	0.004312248359
748	1	0.004303272198
749	1	0.004296783467
750	1	0.004296781063
751	1	0.004292515857
752	1	0.004281169408
753	1	0.004281164239
754	1	0.004273640939
755	1	0.004266173753
756	1	0.004257981417
757	1	0.004253062731
758	1	0.004246239724
759	1	0.004239885047
760	1	0.004230128727
761	1	0.004223649272
762	1	0.004215454693
763	1	0.004206463076
764	1	0.004206262179
765	1	0.004206169558
766	1	0.004197071578
767	1	0.004189500515
768	1	0.004189474261
769	1	0.004181932171
770	1	0.004173809535
771	1	0.004173792254
772	1	0.004170117455
773	1	0.004166706878
774	1	0.004160136358
775	1	0.004153458573
776	1	0.004146693932
777	1	0.004138694369
778	1	0.004135767306
779	1	0.004127545326
780	1	0.004123278078
781	1	0.004116423832
782	1	0.0041100405
783	1	0.004103247928
784	1	0.004095906824
785	1	0.004087157838
786	1	0.004078966175
787	1	0.004078955447
788	1	0.004078931263
789	1	0.004069034455
790	1	0.004062270564
791	1	0.004054813534
792	1	0.004046327644
793	1	0.004046298963
794	1	0.004039601732
795	1	0.00403269801
796	1	0.004026271583
797	1	0.004019206883
798	1	0.004009422604
799	1	0.00400211365
800	1	0.003995845518
801	1	0.003990598848
802	1	0.00399059709
803	1	0.003983553013
804	1	0.003977101428
805	1	0.003974136497
806	1	0.003974133723
807	1	0.003974068016
808	1	0.003973968524
809	1	0.003973910605
810	1	0.003965381346
811	1	0.003953745416
812	1	0.003945972056
813	1	0.003945941633
814	1	0.003939558588
815	1	0.003935778543
816	1	0.003930952228
817	1	0.003930929419
818	1	0.003930803334
819	1	0.003921849345
820	1	0.003921848678
821	1	0.003921843724
822	1	0.003918784621
823	1	0.003912366801
824	1	0.003905690644
825	1	0.003905181376
826	1	0.003899309685
827	1	0.003891201848
828	1	0.003890083362
829	1	0.003882987666
830	1	0.003875647092
831	1	0.003875544698
832	1	0.003868961274
833	1	0.00386512933
834	1	0.003864810568
835	1	0.003861803347
836	1	0.003856110785
837	1	0.003856110785
838	1	0.00385596757
839	1	0.003855947957
840	1	0.003851018855
841	1	0.003848123193
842	1	0.0038426473
843	1	0.003842634912
844	1	0.003833453758
845	1	0.003828085694
846	1	0.00382807684
847	1	0.003828040484
848	1	0.003821758238
849	1	0.003812590283
850	1	0.003806210638
851	1	0.003800345495
852	1	0.003800340901
853	1	0.003800287547
854	1	0.003794483754
855	1	0.00378690545
856	1	0.003786868774
857	1	0.00378198701
858	1	0.003775000286
859	1	0.003770607137
860	1	0.003762995814
861	1	0.003748448949
862	1	0.003742970368
863	1	0.003742962113
864	1	0.003736787927
865	1	0.003736773289
866	1	0.003736761885
867	1	0.003730349445
868	1	0.003723276919
869	1	0.003716261466
870	1	0.00371557854
871	1	0.003709913179
872	1	0.003701683408
873	1	0.003701674954
874	1	0.003692056093
875	1	0.003689999116
876	1	0.003689996305
877	1	0.003683809776
878	1	0.00367892216
879	1	0.003673288897
880	1	0.003664059091
881	1	0.003658532353
882	1	0.003651315508
883	1	0.00364611594
884	1	0.003641606584
885	1	0.003632090033
886	1	0.003627360171
887	1	0.003625782927
888	1	0.003622143912
889	1	0.003617228429
890	1	0.003610875651
891	1	0.003610864291
892	1	0.00360534649
893	1	0.003605343983
894	1	0.003599619416
895	1	0.003592738574
896	1	0.003592736375
897	1	0.003585836351
898	1	0.003585833543
899	1	0.003577884097
900	1	0.003573943233
901	1	0.003567972951
902	1	0.003567966459
903	1	0.003567801303
904	1	0.003567797062
905	1	0.003562393184
906	1	0.003558952288
907	1	0.00355338376
908	1	0.003553365796
909	1	0.003553355559
910	1	0.003548089959
911	1	0.003548089353
912	1	0.003541481429
913	1	0.003541479086
914	1	0.003537915622
915	1	0.003532299114
916	1	0.003532276471
917	1	0.003532258393
918	1	0.003532235275
919	1	0.00353216262
920	1	0.003532159132
921	1	0.003526512412
922	1	0.003526409623
923	1	0.003526394949
924	1	0.003519793055
925	1	0.003518532496
926	1	0.003518532496
927	1	0.003514024942
928	1	0.003508232908
929	1	0.003502003692
930	1	0.00349778008
931	1	0.003492815358
932	1	0.003492803284
933	1	0.003487478867
934	1	0.00348746732
935	1	0.00348746621
936	1	0.003480797261
937	1	0.003480797261
938	1	0.003474635436
939	1	0.003468123289
940	1	0.003468121688
941	1	0.003468118652
942	1	0.003462878134
943	1	0.003462866866
944	1	0.003452154705
945	1	0.003447573374
946	1	0.003447572419
947	1	0.00344377548
948	1	0.003438476029
949	1	0.003438473319
950	1	0.003438442295
951	1	0.003438343483
952	1	0.003429861299
953	1	0.003429855229
954	1	0.003429828514
955	1	0.003424235224
956	1	0.003424220848
957	1	0.003419809493
958	1	0.003415198442
959	1	0.003415198442
960	1	0.003415192939
961	1	0.003415101646
962	1	0.003408853867
963	1	0.003402123704
964	1	0.003402114197
965	1	0.003397011212
966	1	0.003396985662
967	1	0.003390592279
968	1	0.003390564154
969	1	0.003382267019
970	1	0.003378732402
971	1	0.003373408978
972	1	0.003370598502
973	1	0.003370495698
974	1	0.003365998488
975	1	0.003359675756
976	1	0.003359659246
977	1	0.003359643387
978	1	0.00335359693
979	1	0.003349056464
980	1	0.003349040174
981	1	0.003349023958
982	1	0.003348991173
983	1	0.003341382549
984	1	0.003335939098
985	1	0.003329109513
986	1	0.003329109513
987	1	0.003326988398
988	1	0.003326982428
989	1	0.003322363978
990	1	0.003316899508
991	1	0.003316893039
992	1	0.003310842922
993	1	0.003310839365
994	1	0.003310834471
995	1	0.003310633737
996	1	0.003303534173
997	1	0.003303520202
998	1	0.003299529863
999	1	0.003297677658
